Name,Scope,Type,Year,Headline,Text,External Resource Links,Images
1896: Supreme Court validates separate-but-equal principle in Plessy v. Ferguson,National Event,Regular,1896,,Supreme Court validates separate-but-equal principle in Plessy v. Ferguson,"Plessy v. Ferguson,Jim Crow and Plessy v. Ferguson",
"1905: Niagara Movement, forerunner of the National Association for the Advancement of Colored People (NAACP), formed for school integration, voting rights, and assisting black political candidates",National Event,Regular,1905,,"Niagara Movement, forerunner of the National Association for the Advancement of Colored People (NAACP), formed for school integration, voting rights, and assisting black political candidates","Niagara Movement - Cornerstone of the Modern Civil Rights Movement,Niagara Movement",
"1898: A race riot organized by the white supremacist Redshirts in Wilmington, NC which led to the massacre of an estimated 14-60 blacks, the burning of the black newspaper ""The Daily Record,"" the banishment of the legitimately elected biracial Fusion Party government, and the implementation of Jim Crow in North Carolina.",National Event,Regular,1898,,"A race riot organized by the white supremacist Redshirts in Wilmington, NC which led to the massacre of an estimated 14-60 blacks, the burning of the black newspaper ""The Daily Record,"" the banishment of the legitimately elected biracial Fusion Party government, and the implementation of Jim Crow in North Carolina.",Wilmington insurrection of 1898,
"1906: Greensburg, Indiana, race riot in reaction to black migration north.",National Event,Regular,1906,,"Greensburg, Indiana, race riot in reaction to black migration north.",,
1909: National Association for the Advancement of Colored People formed.,National Event,Regular,1909,,National Association for the Advancement of Colored People formed.,NAACP,
"1915: Movie Birth of a Nation released; though a smash hit, its blatant racism provokes opposition from the newly formed NAACP and other black organizations.  This romanticization of the Ku Klux Klan led to its revival at Stone Mountain, GA.
",National Event,Regular,1915,,"Movie Birth of a Nation released; though a smash hit, its blatant racism provokes opposition from the newly formed NAACP and other black organizations.  This romanticization of the Ku Klux Klan led to its revival at Stone Mountain, GA.
",The Birth of a Nation,
1942: Congress of Racial Equality (CORE) founded.,National Event,Regular,1942,,Congress of Racial Equality (CORE) founded.,Congress of Racial Equality (CORE),
1948: Executive Order 9981 issued by President Harry Truman desegregated the US military.,National Event,Regular,1948,,Executive Order 9981 issued by President Harry Truman desegregated the US military.,Executive Order 9981,
1954: Brown v. Board Supreme Court decision overturns separate-but-equal principle.  This landmark case established racially segregated schools as unconstitutional.,National Event,Regular,1954,,Brown v. Board Supreme Court decision overturns separate-but-equal principle.  This landmark case established racially segregated schools as unconstitutional.,"Brown v. Board of Education,Brown v. Board of Education in PBS' The Supreme Court",
"1955: Montgomery Bus Boycott brings Martin Luther King, Jr., to prominence.  The campaign lasted from December 5, 1955, the Monday after Rosa Parks was arrested for refusing to give up her seat to a white person, to December 20, 1956 when Browder v. Gayle went into effect.  Browder v. Gayle declared that bus segregation was unconstitutional.",National Event,Regular,1955,,"Montgomery Bus Boycott brings Martin Luther King, Jr., to prominence.  The campaign lasted from December 5, 1955, the Monday after Rosa Parks was arrested for refusing to give up her seat to a white person, to December 20, 1956 when Browder v. Gayle went into effect.  Browder v. Gayle declared that bus segregation was unconstitutional.","Montgomery Bus Boycott,Rosa Parks,Browder v. Gayle",
1955: 14-year-old Emmett Till murdered in Mississippi for whistling at a white woman.,National Event,Regular,1955,,14-year-old Emmett Till murdered in Mississippi for whistling at a white woman.,Emmett Till,
"1957: The Little Rock Nine were a group of African-American high school students enrolled in Little Rock Central High School.  The decision to integrate the school was opposed by Arkansas Governor Orval Faubus who deployed the National Guard to prevent the Little Rock Nine from attending the segregated school.  President Eisenhower issued Executive Order 10730 which ordered U.S. Army troops and federalized the Arkansas National Guard to enforce school desegregation in Little Rock, Arkansas.",National Event,Regular,1957,,"The Little Rock Nine were a group of African-American high school students enrolled in Little Rock Central High School.  The decision to integrate the school was opposed by Arkansas Governor Orval Faubus who deployed the National Guard to prevent the Little Rock Nine from attending the segregated school.  President Eisenhower issued Executive Order 10730 which ordered U.S. Army troops and federalized the Arkansas National Guard to enforce school desegregation in Little Rock, Arkansas.","Little Rock Nine,Executive Order 10730",
"1957: Southern Christian Leadership Conference (SCLC) founded with Martin Luther King, Jr. as president. The concepts of nonviolent mass action, affiliation with local community organization, and being a movement open to all were cornerstones of the group's strategy.",National Event,Regular,1957,,"Southern Christian Leadership Conference (SCLC) founded with Martin Luther King, Jr. as president. The concepts of nonviolent mass action, affiliation with local community organization, and being a movement open to all were cornerstones of the group's strategy.","Southern Christian Leadership Conference,Southern Christian Leadership Conference",
"1960: The Greensboro Four, students at North Carolina A&T State University conducted a sit-in at the ""whites only"" Woolworth lunch counter in Greensboro, North Carolina.  Their actions inspired a sit-in movement across the United States to desegregate Woolworth.",National Event,Regular,1960,,"The Greensboro Four, students at North Carolina A&T State University conducted a sit-in at the ""whites only"" Woolworth lunch counter in Greensboro, North Carolina.  Their actions inspired a sit-in movement across the United States to desegregate Woolworth.",Greensboro sit-ins,
